2022-02-20 00:01:37,405; INFO; Requesting access: Equipment: 161, identifier: 29CCF326, request: 1. Try 1/2.
2022-02-20 00:01:37,523; INFO; Request number 16823766. Response: ENTRADA.
2022-02-20 00:01:37,526; ERROR; Error in method MA.set_relay_temporarily. From IP: 10.19.226.101, IO #: 1, sleep_time: . Error message: could not convert string to float: 
2022-02-20 00:01:37,574; INFO; Registered access.
2022-02-20 00:01:37,580; INFO; Getting person and access info for access_request_number: 16823766
2022-02-20 00:01:37,741; INFO; Getting photo for person_number: 83342
2022-02-20 00:01:37,747; INFO; Sending data to dashboard.
2022-02-20 00:01:39,830; ERROR; Error in ApiController.get_info_and_photo_and_update_dashboad. Error message: [WinError 10061] No connection could be made because the target machine actively refused itaccess_request_number: 16823766.
2022-02-20 00:02:14,739; INFO; Requesting access: Equipment: 162, identifier: 29CCF326, request: 1. Try 1/2.
2022-02-20 00:02:14,864; INFO; Request number 16823767. Response: ENTRADA.
2022-02-20 00:02:14,868; ERROR; Error in method MA.set_relay_temporarily. From IP: 10.19.226.108, IO #: 1, sleep_time: . Error message: could not convert string to float: 
2022-02-20 00:02:14,906; INFO; Registered access.
2022-02-20 00:02:14,907; INFO; Getting person and access info for access_request_number: 16823767
2022-02-20 00:02:15,093; INFO; Getting photo for person_number: 83342
2022-02-20 00:02:15,101; INFO; Sending data to dashboard.
2022-02-20 00:02:17,191; ERROR; Error in ApiController.get_info_and_photo_and_update_dashboad. Error message: [WinError 10061] No connection could be made because the target machine actively refused itaccess_request_number: 16823767.
2022-02-20 00:06:17,100; INFO; Access Report - Temperature: File Relatório de acesso - Temperatura - 2022-02-19 23-00-00 - 2022-02-20 00-00-00.xlsx does not exist. Starting report build.
2022-02-20 00:06:33,516; INFO; Getting person and access info for equipment_number: 3, access_made_type: 1, from: 2022-02-19 23:00:00, to: 2022-02-20 00:00:00
2022-02-20 00:06:33,668; WARNING; Warning in ApiController.get_access_made_info. No data received for equipment_number: 3, access_made_type: 1, from: 2022-02-19 23:00:00, to: 2022-02-20 00:00:00
2022-02-20 00:06:33,669; INFO; Getting person and access info for equipment_number: 3, access_made_type: 2, from: 2022-02-19 23:00:00, to: 2022-02-20 00:00:00
2022-02-20 00:06:33,820; WARNING; Warning in ApiController.get_access_made_info. No data received for equipment_number: 3, access_made_type: 2, from: 2022-02-19 23:00:00, to: 2022-02-20 00:00:00
2022-02-20 00:06:33,821; INFO; Getting person and access info for equipment_number: 5, access_made_type: 1, from: 2022-02-19 23:00:00, to: 2022-02-20 00:00:00
2022-02-20 00:06:33,977; WARNING; Warning in ApiController.get_access_made_info. No data received for equipment_number: 5, access_made_type: 1, from: 2022-02-19 23:00:00, to: 2022-02-20 00:00:00
2022-02-20 00:06:33,978; INFO; Getting person and access info for equipment_number: 5, access_made_type: 2, from: 2022-02-19 23:00:00, to: 2022-02-20 00:00:00
2022-02-20 00:06:34,525; INFO; Getting person and access info for equipment_number: 7, access_made_type: 1, from: 2022-02-19 23:00:00, to: 2022-02-20 00:00:00
2022-02-20 00:06:34,737; WARNING; Warning in ApiController.get_access_made_info. No data received for equipment_number: 7, access_made_type: 1, from: 2022-02-19 23:00:00, to: 2022-02-20 00:00:00
2022-02-20 00:06:34,738; INFO; Getting person and access info for equipment_number: 7, access_made_type: 2, from: 2022-02-19 23:00:00, to: 2022-02-20 00:00:00
2022-02-20 00:06:34,959; WARNING; Warning in ApiController.get_access_made_info. No data received for equipment_number: 7, access_made_type: 2, from: 2022-02-19 23:00:00, to: 2022-02-20 00:00:00
2022-02-20 00:06:34,960; INFO; Getting person and access info for equipment_number: 9, access_made_type: 1, from: 2022-02-19 23:00:00, to: 2022-02-20 00:00:00
2022-02-20 00:06:35,194; WARNING; Warning in ApiController.get_access_made_info. No data received for equipment_number: 9, access_made_type: 1, from: 2022-02-19 23:00:00, to: 2022-02-20 00:00:00
2022-02-20 00:06:35,195; INFO; Getting person and access info for equipment_number: 9, access_made_type: 2, from: 2022-02-19 23:00:00, to: 2022-02-20 00:00:00
2022-02-20 00:06:35,355; WARNING; Warning in ApiController.get_access_made_info. No data received for equipment_number: 9, access_made_type: 2, from: 2022-02-19 23:00:00, to: 2022-02-20 00:00:00
