2022-02-22 00:04:08,695; INFO; Requesting access: Equipment: 133, identifier: D1FCCE1A, request: 1. Try 1/2.
2022-02-22 00:04:08,768; INFO; Request number 16832752. Response: ENTRADA.
2022-02-22 00:04:08,806; INFO; Registered access.
2022-02-22 00:04:08,807; INFO; Getting person and access info for access_request_number: 16832752
2022-02-22 00:04:08,919; INFO; Getting photo for person_number: 25422
2022-02-22 00:04:08,927; INFO; Sending data to dashboard.
2022-02-22 00:04:10,928; ERROR; Error in ApiController.get_info_and_photo_and_update_dashboad. Error message: [WinError 10061] No connection could be made because the target machine actively refused itaccess_request_number: 16832752.
2022-02-22 00:05:21,198; INFO; Access Report - Temperature: File Relatório de acesso - Temperatura - 2022-02-21 23-00-00 - 2022-02-22 00-00-00.xlsx does not exist. Starting report build.
2022-02-22 00:05:35,010; INFO; Getting person and access info for equipment_number: 3, access_made_type: 1, from: 2022-02-21 23:00:00, to: 2022-02-22 00:00:00
2022-02-22 00:05:35,510; WARNING; Warning in ApiController.get_access_made_info. No data received for equipment_number: 3, access_made_type: 1, from: 2022-02-21 23:00:00, to: 2022-02-22 00:00:00
2022-02-22 00:05:35,511; INFO; Getting person and access info for equipment_number: 3, access_made_type: 2, from: 2022-02-21 23:00:00, to: 2022-02-22 00:00:00
2022-02-22 00:05:35,700; WARNING; Warning in ApiController.get_access_made_info. No data received for equipment_number: 3, access_made_type: 2, from: 2022-02-21 23:00:00, to: 2022-02-22 00:00:00
2022-02-22 00:05:35,701; INFO; Getting person and access info for equipment_number: 5, access_made_type: 1, from: 2022-02-21 23:00:00, to: 2022-02-22 00:00:00
2022-02-22 00:05:35,922; WARNING; Warning in ApiController.get_access_made_info. No data received for equipment_number: 5, access_made_type: 1, from: 2022-02-21 23:00:00, to: 2022-02-22 00:00:00
2022-02-22 00:05:35,922; INFO; Getting person and access info for equipment_number: 5, access_made_type: 2, from: 2022-02-21 23:00:00, to: 2022-02-22 00:00:00
2022-02-22 00:05:36,163; WARNING; Warning in ApiController.get_access_made_info. No data received for equipment_number: 5, access_made_type: 2, from: 2022-02-21 23:00:00, to: 2022-02-22 00:00:00
2022-02-22 00:05:36,164; INFO; Getting person and access info for equipment_number: 7, access_made_type: 1, from: 2022-02-21 23:00:00, to: 2022-02-22 00:00:00
2022-02-22 00:05:36,404; WARNING; Warning in ApiController.get_access_made_info. No data received for equipment_number: 7, access_made_type: 1, from: 2022-02-21 23:00:00, to: 2022-02-22 00:00:00
2022-02-22 00:05:36,404; INFO; Getting person and access info for equipment_number: 7, access_made_type: 2, from: 2022-02-21 23:00:00, to: 2022-02-22 00:00:00
2022-02-22 00:05:36,649; WARNING; Warning in ApiController.get_access_made_info. No data received for equipment_number: 7, access_made_type: 2, from: 2022-02-21 23:00:00, to: 2022-02-22 00:00:00
