2022-03-05 00:02:35,987; INFO; Requesting access: Equipment: 138, identifier: A6F4B860, request: 2. Try 1/2.
2022-03-05 00:02:36,124; INFO; Request number 16890079. Response: ENTRADA / SAÍDA.
2022-03-05 00:02:36,132; ERROR; Error in method MA.set_relay_temporarily. From IP: 10.19.221.104, IO #: 1, sleep_time: TEMPORARY. Error message: could not convert string to float: 'TEMPORARY'
2022-03-05 00:02:36,195; INFO; Registered access.
2022-03-05 00:02:36,196; INFO; Getting person and access info for access_request_number: 16890079
2022-03-05 00:02:37,743; INFO; Getting photo for person_number: 40702
2022-03-05 00:02:37,753; INFO; Sending data to dashboard.
2022-03-05 00:02:39,891; ERROR; Error in ApiController.get_info_and_photo_and_update_dashboad. Error message: [WinError 10061] No connection could be made because the target machine actively refused itaccess_request_number: 16890079.
2022-03-05 00:03:58,011; INFO; Access Report - Temperature: File Relatório de acesso - Temperatura - 2022-03-04 23-00-00 - 2022-03-05 00-00-00.xlsx does not exist. Starting report build.
2022-03-05 00:04:23,468; ERROR; Error in SS7520FaceT.time_set_time_zone. Error message: HTTPConnectionPool(host='10.19.80.161', port=80): Max retries exceeded with url: /cgi-bin/configManager.cgi?action=setConfig&NTP.Address=a.ntp.br&NTP.Enable=false&NTP.TimeZone=22&NTP.TimeZoneDesc=Bras%C3%ADlia&NTP.UpdatePeriod=10 (Caused by ConnectTimeoutError(<urllib3.connection.HTTPConnection object at 0x0000006893988EF0>, 'Connection to 10.19.80.161 timed out. (connect timeout=10)')). IP: 10.19.80.161.
2022-03-05 00:04:33,475; ERROR; Error in SS7520FaceT.time_set. Error message: HTTPConnectionPool(host='10.19.80.161', port=80): Max retries exceeded with url: /cgi-bin/global.cgi?action=setCurrentTime&time=2022-03-05%2000:04:23 (Caused by ConnectTimeoutError(<urllib3.connection.HTTPConnection object at 0x000000688BDF0470>, 'Connection to 10.19.80.161 timed out. (connect timeout=10)')). IP: 10.19.80.161.
