2022-03-11 00:00:15,436; INFO; Requesting access: Equipment: 138, identifier: DBF74654, request: 1. Try 1/2.
2022-03-11 00:00:15,574; INFO; Request number 16925024. Response: ENTRADA / SAÍDA.
2022-03-11 00:00:15,577; ERROR; Error in method MA.set_relay_temporarily. From IP: 10.19.221.104, IO #: 1, sleep_time: TEMPORARY. Error message: could not convert string to float: 'TEMPORARY'
2022-03-11 00:00:15,669; INFO; Registered access.
2022-03-11 00:00:15,670; INFO; Getting person and access info for access_request_number: 16925024
2022-03-11 00:00:17,392; INFO; Getting photo for person_number: 25610
2022-03-11 00:00:17,410; INFO; Sending data to dashboard.
2022-03-11 00:00:19,507; ERROR; Error in ApiController.get_info_and_photo_and_update_dashboad. Error message: [WinError 10061] No connection could be made because the target machine actively refused itaccess_request_number: 16925024.
2022-03-11 00:09:36,189; INFO; Access Report - Temperature: File Relatório de acesso - Temperatura - 2022-03-10 23-00-00 - 2022-03-11 00-00-00.xlsx does not exist. Starting report build.
2022-03-11 00:09:48,786; INFO; Getting person and access info for equipment_number: 3, access_made_type: 1, from: 2022-03-10 23:00:00, to: 2022-03-11 00:00:00
2022-03-11 00:09:49,108; WARNING; Warning in ApiController.get_access_made_info. No data received for equipment_number: 3, access_made_type: 1, from: 2022-03-10 23:00:00, to: 2022-03-11 00:00:00
2022-03-11 00:09:49,109; INFO; Getting person and access info for equipment_number: 3, access_made_type: 2, from: 2022-03-10 23:00:00, to: 2022-03-11 00:00:00
2022-03-11 00:09:49,436; WARNING; Warning in ApiController.get_access_made_info. No data received for equipment_number: 3, access_made_type: 2, from: 2022-03-10 23:00:00, to: 2022-03-11 00:00:00
2022-03-11 00:09:49,437; INFO; Getting person and access info for equipment_number: 5, access_made_type: 1, from: 2022-03-10 23:00:00, to: 2022-03-11 00:00:00
2022-03-11 00:09:49,784; WARNING; Warning in ApiController.get_access_made_info. No data received for equipment_number: 5, access_made_type: 1, from: 2022-03-10 23:00:00, to: 2022-03-11 00:00:00
2022-03-11 00:09:49,786; INFO; Getting person and access info for equipment_number: 5, access_made_type: 2, from: 2022-03-10 23:00:00, to: 2022-03-11 00:00:00
2022-03-11 00:09:50,149; WARNING; Warning in ApiController.get_access_made_info. No data received for equipment_number: 5, access_made_type: 2, from: 2022-03-10 23:00:00, to: 2022-03-11 00:00:00
2022-03-11 00:09:50,150; INFO; Getting person and access info for equipment_number: 7, access_made_type: 1, from: 2022-03-10 23:00:00, to: 2022-03-11 00:00:00
2022-03-11 00:09:50,390; WARNING; Warning in ApiController.get_access_made_info. No data received for equipment_number: 7, access_made_type: 1, from: 2022-03-10 23:00:00, to: 2022-03-11 00:00:00
2022-03-11 00:09:50,391; INFO; Getting person and access info for equipment_number: 7, access_made_type: 2, from: 2022-03-10 23:00:00, to: 2022-03-11 00:00:00
2022-03-11 00:09:50,710; WARNING; Warning in ApiController.get_access_made_info. No data received for equipment_number: 7, access_made_type: 2, from: 2022-03-10 23:00:00, to: 2022-03-11 00:00:00
2022-03-11 00:09:50,711; INFO; Getting person and access info for equipment_number: 9, access_made_type: 1, from: 2022-03-10 23:00:00, to: 2022-03-11 00:00:00
