2022-03-16 00:04:31,371; INFO; Requesting access: Equipment: 132, identifier: 2916D506, request: 1. Try 1/2.
2022-03-16 00:04:31,504; INFO; Request number 17614526. Response: ENTRADA / SAÍDA.
2022-03-16 00:04:31,578; INFO; Registered access.
2022-03-16 00:04:31,580; INFO; Getting person and access info for access_request_number: 17614526
2022-03-16 00:04:31,747; INFO; Getting photo for person_number: 25422
2022-03-16 00:04:31,756; INFO; Sending data to dashboard.
2022-03-16 00:04:33,758; ERROR; Error in ApiController.get_info_and_photo_and_update_dashboad. Error message: [WinError 10061] No connection could be made because the target machine actively refused itaccess_request_number: 17614526.
2022-03-16 00:06:30,438; INFO; Access Report - Temperature: File Relatório de acesso - Temperatura - 2022-03-15 23-00-00 - 2022-03-16 00-00-00.xlsx does not exist. Starting report build.
2022-03-16 00:06:53,734; ERROR; Error in SS7520FaceT.time_set_time_zone. Error message: HTTPConnectionPool(host='10.19.80.161', port=80): Max retries exceeded with url: /cgi-bin/configManager.cgi?action=setConfig&NTP.Address=a.ntp.br&NTP.Enable=false&NTP.TimeZone=22&NTP.TimeZoneDesc=Bras%C3%ADlia&NTP.UpdatePeriod=10 (Caused by ConnectTimeoutError(<urllib3.connection.HTTPConnection object at 0x00000082BC9A2828>, 'Connection to 10.19.80.161 timed out. (connect timeout=10)')). IP: 10.19.80.161.
2022-03-16 00:07:03,739; ERROR; Error in SS7520FaceT.time_set. Error message: HTTPConnectionPool(host='10.19.80.161', port=80): Max retries exceeded with url: /cgi-bin/global.cgi?action=setCurrentTime&time=2022-03-16%2000:06:53 (Caused by ConnectTimeoutError(<urllib3.connection.HTTPConnection object at 0x00000082BC9A2898>, 'Connection to 10.19.80.161 timed out. (connect timeout=10)')). IP: 10.19.80.161.
2022-03-16 00:07:24,743; ERROR; Error in SS7520FaceT.config_temperature_only. Error message: HTTPConnectionPool(host='10.19.80.161', port=80): Max retries exceeded with url: /cgi-bin/configManager.cgi?action=setConfig&MeasureTemperature.OnlyTemperatureMode=true (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x00000082BC856A90>: Failed to establish a new connection: [WinError 10060] A connection attempt failed because the connected party did not properly respond after a period of time, or established connection failed because connected host has failed to respond')). IP: 10.19.80.161.
2022-03-16 00:07:45,740; ERROR; Error in SS7520FaceT.config_mask_mode. Error message: HTTPConnectionPool(host='10.19.80.161', port=80): Max retries exceeded with url: /cgi-bin/configManager.cgi?action=setConfig&MeasureTemperature.MaskOpt=0 (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x00000082BC856F60>: Failed to establish a new connection: [WinError 10060] A connection attempt failed because the connected party did not properly respond after a period of time, or established connection failed because connected host has failed to respond')). IP: 10.19.80.161.
