2022-03-19 00:02:06,554; INFO; 10.19.1.101: Input status: 0001
2022-03-19 00:02:06,556; INFO; Requesting access: Equipment: 133, identifier:  , request: 4. Try 1/2.
2022-03-19 00:02:06,562; INFO; Request number 18186823. Response: BOTÃO.
2022-03-19 00:02:06,574; INFO; Registered access.
2022-03-19 00:02:06,575; INFO; Getting person and access info for access_request_number: 18186823
2022-03-19 00:02:06,712; WARNING; Warning in ApiController.get_person_access_info. No data received for access_request_number: 18186823. Access was probably via button.
2022-03-19 00:02:07,379; INFO; 10.19.1.101: Input status: 0000
2022-03-19 00:02:09,673; INFO; 10.19.1.101: Input status: 0010
2022-03-19 00:02:09,674; INFO; Requesting access: Equipment: 132, identifier:  , request: 4. Try 1/2.
2022-03-19 00:02:09,683; INFO; Request number 18186829. Response: BOTÃO.
2022-03-19 00:02:09,694; INFO; Registered access.
2022-03-19 00:02:09,696; INFO; Getting person and access info for access_request_number: 18186829
2022-03-19 00:02:09,859; WARNING; Warning in ApiController.get_person_access_info. No data received for access_request_number: 18186829. Access was probably via button.
2022-03-19 00:02:10,142; INFO; 10.19.1.101: Input status: 0000
2022-03-19 00:02:36,918; INFO; Access Report - Temperature: File Relatório de acesso - Temperatura - 2022-03-18 23-00-00 - 2022-03-19 00-00-00.xlsx does not exist. Starting report build.
2022-03-19 00:02:51,629; INFO; Getting person and access info for equipment_number: 3, access_made_type: 1, from: 2022-03-18 23:00:00, to: 2022-03-19 00:00:00
2022-03-19 00:02:51,818; WARNING; Warning in ApiController.get_access_made_info. No data received for equipment_number: 3, access_made_type: 1, from: 2022-03-18 23:00:00, to: 2022-03-19 00:00:00
2022-03-19 00:02:51,819; INFO; Getting person and access info for equipment_number: 3, access_made_type: 2, from: 2022-03-18 23:00:00, to: 2022-03-19 00:00:00
2022-03-19 00:02:52,494; INFO; Getting person and access info for equipment_number: 5, access_made_type: 1, from: 2022-03-18 23:00:00, to: 2022-03-19 00:00:00
2022-03-19 00:02:52,792; WARNING; Warning in ApiController.get_access_made_info. No data received for equipment_number: 5, access_made_type: 1, from: 2022-03-18 23:00:00, to: 2022-03-19 00:00:00
2022-03-19 00:02:52,793; INFO; Getting person and access info for equipment_number: 5, access_made_type: 2, from: 2022-03-18 23:00:00, to: 2022-03-19 00:00:00
2022-03-19 00:02:53,080; WARNING; Warning in ApiController.get_access_made_info. No data received for equipment_number: 5, access_made_type: 2, from: 2022-03-18 23:00:00, to: 2022-03-19 00:00:00
2022-03-19 00:02:53,081; INFO; Getting person and access info for equipment_number: 7, access_made_type: 1, from: 2022-03-18 23:00:00, to: 2022-03-19 00:00:00
2022-03-19 00:02:53,364; WARNING; Warning in ApiController.get_access_made_info. No data received for equipment_number: 7, access_made_type: 1, from: 2022-03-18 23:00:00, to: 2022-03-19 00:00:00
2022-03-19 00:02:53,365; INFO; Getting person and access info for equipment_number: 7, access_made_type: 2, from: 2022-03-18 23:00:00, to: 2022-03-19 00:00:00
2022-03-19 00:02:53,645; WARNING; Warning in ApiController.get_access_made_info. No data received for equipment_number: 7, access_made_type: 2, from: 2022-03-18 23:00:00, to: 2022-03-19 00:00:00
2022-03-19 00:02:53,646; INFO; Getting person and access info for equipment_number: 9, access_made_type: 1, from: 2022-03-18 23:00:00, to: 2022-03-19 00:00:00
2022-03-19 00:02:53,921; WARNING; Warning in ApiController.get_access_made_info. No data received for equipment_number: 9, access_made_type: 1, from: 2022-03-18 23:00:00, to: 2022-03-19 00:00:00
2022-03-19 00:02:53,922; INFO; Getting person and access info for equipment_number: 9, access_made_type: 2, from: 2022-03-18 23:00:00, to: 2022-03-19 00:00:00
2022-03-19 00:02:54,164; WARNING; Warning in ApiController.get_access_made_info. No data received for equipment_number: 9, access_made_type: 2, from: 2022-03-18 23:00:00, to: 2022-03-19 00:00:00
2022-03-19 00:02:54,165; INFO; Getting person and access info for equipment_number: 10, access_made_type: 1, from: 2022-03-18 23:00:00, to: 2022-03-19 00:00:00
2022-03-19 00:02:54,395; WARNING; Warning in ApiController.get_access_made_info. No data received for equipment_number: 10, access_made_type: 1, from: 2022-03-18 23:00:00, to: 2022-03-19 00:00:00
2022-03-19 00:02:54,396; INFO; Getting person and access info for equipment_number: 10, access_made_type: 2, from: 2022-03-18 23:00:00, to: 2022-03-19 00:00:00
2022-03-19 00:02:54,584; WARNING; Warning in ApiController.get_access_made_info. No data received for equipment_number: 10, access_made_type: 2, from: 2022-03-18 23:00:00, to: 2022-03-19 00:00:00
